Rank,Name,Games Won,Region,Seed,Win %,SoS,Pts / Gm,Opp Pts / Gm,FG %,3Pt FG %,Free Throw %,Offense Rating,Defense Rating,Adj. Score Margin,Rebound %,Off. Rebound %,Effective FG %,True Shooting %,Opp. True Shoot %,Pace,Turnover %,Opp. Turnover %,Turnover Margin,Assist %,Assists / Turnover,FT / FGA,Opp. FT / FGA,NetRtg,NetRtg.1,Luck,NetRtgTotal,NetRtgTotalPlusLuck
1,UConn,6,0,1,1.0,0.8130454754,0.7371104816,0.7190332326,0.7875,0.7256097561,0.6814159292,1.0,0.7101910828,0.9625407166,0.8304093567,0.78,0.8379888268,0.8128654971,0.7872340426,0.3378378378,0.8217821782,0.3282442748,0.5186046512,0.8942307692,1.0,0.4974093264,0.5347826087,1.0,12.42,0.037,1.0,1.0
2,Purdue,5,3,1,0.9625425653,0.9912723932,0.7915014164,0.502265861,0.7375,0.9756097561,0.5884955752,0.9141414141,0.6050955414,0.8534201954,0.9239766082,0.816,0.7765363128,0.7719298246,0.6879432624,0.527027027,0.6930693069,0.1908396947,0.3186046512,0.9198717949,0.7925925926,0.8186528497,0.8304347826,0.9136187927445735,14.65,0.048,0.9562347188264059,0.9564208701173427
14,Alabama,4,1,4,0.7094211124,0.9862195682,1.0,0.09025679758,0.66875,0.7134146341,0.8672566372,0.9570707071,0.3566878981,0.7540716612,0.649122807,0.72,0.7877094972,0.8128654971,0.4184397163,0.8783783784,0.7227722772,0.2900763359,0.4310077519,0.5224358974,0.6,0.6476683938,0.2782608696,0.7997323818019626,14.71,-0.001,0.8633251833740833,0.863023065557957
45,NC State,4,2,11,0.6583427923,0.8245291686,0.5923512748,0.4063444109,0.5,0.6036585366,0.6460176991,0.6666666667,0.4808917197,0.6302931596,0.4269005848,0.464,0.4860335196,0.4795321637,0.4468085106,0.5135135135,0.8910891089,0.4503816794,0.680620155,0.3557692308,0.6,0.4507772021,0.5391304348,0.6947665774606007,11.33,0.014,0.7356968215158923,0.7357290254832289
8,Tennessee,3,3,2,0.8161180477,0.9297197979,0.6804532578,0.5879909366,0.4625,0.5731707317,0.7123893805,0.7348484848,0.7484076433,0.8110749186,0.6140350877,0.616,0.5251396648,0.5380116959,0.7588652482,0.6351351351,0.8415841584,0.4961832061,0.6899224806,0.8141025641,0.8148148148,0.5492227979,0.4565217391,0.8539994052928933,13.35,-0.026,0.891320293398533,0.8906797562792287
9,Illinois,3,0,3,0.8251986379,0.8759761139,0.8130311615,0.3799093656,0.625,0.6219512195,0.6725663717,0.8813131313,0.5222929936,0.7899022801,0.8070175439,0.76,0.6480446927,0.6549707602,0.6666666667,0.6351351351,0.8118811881,0.08396946565,0.2976744186,0.2724358974,0.4962962963,0.6528497409,0.7260869565,0.8230746357418972,11.92,-0.004,0.8484107579462103,0.8480896736144182
22,Clemson,3,1,6,0.7094211124,0.8663298117,0.6220963173,0.4584592145,0.6125,0.6463414634,0.8938053097,0.7651515152,0.4713375796,0.6889250814,0.6081871345,0.428,0.6592178771,0.6725146199,0.5531914894,0.4256756757,0.7821782178,0.1679389313,0.3821705426,0.5641025641,0.6740740741,0.4715025907,0.547826087,0.7473981564079691,12.09,-0.018,0.7882640586797065,0.78784326654212
15,Duke,3,2,4,0.8161180477,0.8213137345,0.6909348442,0.6046072508,0.7,0.7865853659,0.592920354,0.8712121212,0.6401273885,0.8436482085,0.6900584795,0.596,0.7318435754,0.701754386,0.609929078,0.4391891892,0.8514851485,0.3893129771,0.5860465116,0.5833333333,0.7851851852,0.481865285,0.7304347826,0.8519179304192686,10.07,-0.064,0.8495110024449878,0.8484559873988058
4,UNC,2,1,1,0.866061294,0.9095084979,0.7371104816,0.4988670695,0.49375,0.6463414634,0.7345132743,0.7626262626,0.6910828025,0.7996742671,0.7660818713,0.632,0.5139664804,0.5497076023,0.7163120567,0.6891891892,0.8613861386,0.2595419847,0.4798449612,0.5064102564,0.6444444444,0.6580310881,0.6391304348,0.847754980672019,12.17,-0.038,0.871760391198044,0.8709964955981294
3,Houston,2,2,1,0.9659477866,0.9343132751,0.4980169972,1.0,0.4,0.6036585366,0.4690265487,0.7474747475,1.0,0.9478827362,0.6315789474,0.796,0.4245810056,0.3801169591,0.8581560284,0.2027027027,0.9504950495,0.8702290076,1.0,0.4262820513,0.6888888889,0.2953367876,0.4217391304,0.9217960154623849,11.57,0.042,0.9253056234718826,0.9254551448771018
5,Iowa St,2,0,2,0.866061294,0.8635737253,0.5696883853,0.836858006,0.58125,0.6158536585,0.482300885,0.6919191919,0.9458598726,0.8843648208,0.514619883,0.584,0.5474860335,0.5204678363,0.6524822695,0.472972973,0.7425742574,0.9770992366,0.9837209302,0.7147435897,0.7037037037,0.5233160622,0.4652173913,0.8519179304192686,10.43,0.002,0.8539119804400978,0.8536576431371115
6,Arizona,2,1,2,0.8251986379,0.9044556729,0.9203966006,0.4233383686,0.74375,0.75,0.5796460177,0.8686868687,0.7292993631,0.8876221498,0.8888888889,0.772,0.7206703911,0.6959064327,0.6241134752,0.8175675676,0.7227722772,0.4885496183,0.5674418605,0.7467948718,0.7555555556,0.585492228,0.7608695652,0.8531073446327684,11.12,-0.047,0.8633251833740833,0.862461384421896
7,Marquette,2,2,2,0.799091941,0.9660082683,0.6470254958,0.5188821752,0.675,0.6707317073,0.5619469027,0.7373737374,0.6178343949,0.7459283388,0.3567251462,0.36,0.7262569832,0.6549707602,0.5035460993,0.5472972973,0.8217821782,0.6488549618,0.8217054264,0.5929487179,0.7851851852,0.1658031088,0.6304347826,0.8006244424620874,13.6,0.035,0.8504889975550122,0.8506416596456524
12,Creighton,2,3,3,0.7809307605,0.8847037207,0.7104815864,0.5185045317,0.725,0.6890243902,0.8539823009,0.8308080808,0.601910828,0.7980456026,0.6549707602,0.356,0.8603351955,0.8128654971,0.8014184397,0.4527027027,0.7326732673,0.0,0.2348837209,0.7307692308,0.8074074074,0.207253886,1.0,0.8184656556645853,11.96,-0.018,0.8451100244498777,0.8446219031222145
17,SDSU,2,0,5,0.7661748014,0.8502526412,0.5422096317,0.6378398792,0.4375,0.3963414634,0.6415929204,0.6464646465,0.7133757962,0.7361563518,0.6608187135,0.652,0.4357541899,0.4619883041,0.7021276596,0.4054054054,0.7128712871,0.465648855,0.5596899225,0.4775641026,0.4888888889,0.6165803109,0.5652173913,0.7462087421944693,11.16,0.008,0.7759168704156479,0.7758281744142033
